Date,Quarter,Year, Quantity Offered, CCR Sold, Quantity Sold, Clearing Price, Total Proceeds
1998-03-31,1,1998,0,0.0,0,0.0,0.0
1998-06-30,2,1998,0,0.0,0,0.0,0.0
1998-09-30,3,1998,0,0.0,0,0.0,0.0
1998-12-31,4,1998,0,0.0,0,0.0,0.0
1999-03-31,1,1999,0,0.0,0,0.0,0.0
1999-06-30,2,1999,0,0.0,0,0.0,0.0
1999-09-30,3,1999,0,0.0,0,0.0,0.0
1999-12-31,4,1999,0,0.0,0,0.0,0.0
2000-03-31,1,2000,0,0.0,0,0.0,0.0
2000-06-30,2,2000,0,0.0,0,0.0,0.0
2000-09-30,3,2000,0,0.0,0,0.0,0.0
2000-12-31,4,2000,0,0.0,0,0.0,0.0
2001-03-31,1,2001,0,0.0,0,0.0,0.0
2001-06-30,2,2001,0,0.0,0,0.0,0.0
2001-09-30,3,2001,0,0.0,0,0.0,0.0
2001-12-31,4,2001,0,0.0,0,0.0,0.0
2002-03-31,1,2002,0,0.0,0,0.0,0.0
2002-06-30,2,2002,0,0.0,0,0.0,0.0
2002-09-30,3,2002,0,0.0,0,0.0,0.0
2002-12-31,4,2002,0,0.0,0,0.0,0.0
2003-03-31,1,2003,0,0.0,0,0.0,0.0
2003-06-30,2,2003,0,0.0,0,0.0,0.0
2003-09-30,3,2003,0,0.0,0,0.0,0.0
2003-12-31,4,2003,0,0.0,0,0.0,0.0
2004-03-31,1,2004,0,0.0,0,0.0,0.0
2004-06-30,2,2004,0,0.0,0,0.0,0.0
2004-09-30,3,2004,0,0.0,0,0.0,0.0
2004-12-31,4,2004,0,0.0,0,0.0,0.0
2005-03-31,1,2005,0,0.0,0,0.0,0.0
2005-06-30,2,2005,0,0.0,0,0.0,0.0
2005-09-30,3,2005,0,0.0,0,0.0,0.0
2005-12-31,4,2005,0,0.0,0,0.0,0.0
2006-03-31,1,2006,0,0.0,0,0.0,0.0
2006-06-30,2,2006,0,0.0,0,0.0,0.0
2006-09-30,3,2006,0,0.0,0,0.0,0.0
2006-12-31,4,2006,0,0.0,0,0.0,0.0
2007-03-31,1,2007,0,0.0,0,0.0,0.0
2007-06-30,2,2007,0,0.0,0,0.0,0.0
2007-09-30,3,2007,0,0.0,0,0.0,0.0
2007-12-31,4,2007,0,0.0,0,0.0,0.0
2008-03-31,1,2008,0,0.0,0,0.0,0.0
2008-06-30,2,2008,0,0.0,0,0.0,0.0
2008-09-30,3,2008,12565387,,12565387,3.07,38575738.09
2008-12-31,4,2008,31505898,,31505898,3.38,106489935.24
2009-03-31,1,2009,33689278,,33689278,6.56,
2009-06-30,2,2009,33060160,,33060160,5.29,
2009-09-30,3,2009,30581485,,30581485,4.0600000000000005,
2009-12-31,4,2009,30764238,,30190698,3.91,
2010-03-31,1,2010,42750400,,42703408,3.9299999999999997,
2010-06-30,2,2010,42823578,,42823578,3.74,
2010-09-30,3,2010,47733960,,35719000,3.72,
2010-12-31,4,2010,45311639,,25927000,3.72,
2011-03-31,1,2011,44140523,,44140523,3.78,
2011-06-30,2,2011,43899136,,13480000,3.78,
2011-09-30,3,2011,44054636,,7487000,,
2011-12-31,4,2011,44848433,,27293000,,
2012-03-31,1,2012,34843858,,21559000,1.93,41608870.0
2012-06-30,2,2012,36426008,,20941000,1.93,40416130.0
2012-09-30,3,2012,37949558,,24589000,1.93,47456770.0
2012-12-31,4,2012,37563083,,19774000,1.93,38163820.0
2013-03-31,1,2013,37835405,,37835405,2.8,105939134.0
2013-06-30,2,2013,38782076,,38782076,3.21,124490463.96
2013-09-30,3,2013,38409043,,38409043,2.67,102552144.81
2013-12-31,4,2013,38329378,,38329378,3.0,114988134.0
2014-03-31,1,2014,18491350,5000000.0,23491350,4.0,93965400.0
2014-06-30,2,2014,18062384,0.0,18062384,5.02,90673167.68
2014-09-30,3,2014,17998687,0.0,17998687,4.88,87833592.56
2014-12-31,4,2014,18198685,0.0,18198685,5.21,94815148.85
2015-03-31,1,2015,15272670,0.0,15272670,5.41,82625144.7
2015-06-30,2,2015,15507571,0.0,15507571,5.5,85291640.5
2015-09-30,3,2015,15374294,10000000.0,25374294,6.02,152753249.88
2015-12-31,4,2015,15374274,0.0,15374274,7.5,115307055.0
2016-03-31,1,2016,14838732,0.0,14838732,5.25,77903343.0
2016-06-30,2,2016,15089652,0.0,15089652,4.53,68356123.56
2016-09-30,3,2016,14911315,0.0,14911315,4.54,67697370.1
2016-12-31,4,2016,14791315,0.0,14791315,3.55,52509168.25
2017-03-31,1,2017,14371300,0.0,14371300,3.0,43113900.0
2017-06-30,2,2017,14597470,0.0,14597470,2.53,36931599.1
2017-09-30,3,2017,14371585,0.0,14371585,4.35,62516394.75
2017-12-31,4,2017,14687989,0.0,14687989,3.8,55814358.2
2018-03-31,1,2018,13553767,0.0,13553767,3.79,51368776.93
2018-06-30,2,2018,13771025,0.0,13771025,4.02,55359520.5
2018-09-30,3,2018,13590107,0.0,13590107,4.5,61155481.5
2018-12-31,4,2018,13360649,0.0,13360649,5.35,71479472.15
2019-03-31,1,2019,12883436,0.0,12883436,5.27,67895707.72
2019-06-30,2,2019,13221453,0.0,13221453,5.62,74304565.86
2019-09-30,3,2019,13116447,0.0,13116447,5.2,68205524.4
2019-12-31,4,2019,13116444,0.0,13116444,5.61,73583250.84
2020-03-31,1,2020,16208347,0.0,16208347,5.65,91577160.55
2020-06-30,2,2020,16336298,0.0,16336298,5.75,93933713.5
2020-09-30,3,2020,16192785,0.0,16192785,6.82,110434793.7
2020-12-31,4,2020,16237495,0.0,16237495,7.41,120319837.95
2021-03-31,1,2021,23467261,0.0,23467261,7.6,178351183.6
2021-06-30,2,2021,22987719,0.0,22987719,7.97,183212120.43
2021-09-30,3,2021,22911423,0.0,22911423,9.3,213076233.9
2021-12-31,4,2021,23121518,3919482.0,27041000,13.0,351533000.0
2022-03-31,1,2022,21761269,0.0,21761269,13.5,293777131.5
2022-06-30,2,2022,22280473,0.0,22280473,13.9,309698574.7
2022-09-30,3,2022,22404023,0.0,22404023,13.45,301334109.35
2022-12-31,4,2022,22233203,0.0,22233203,12.99,288809306.97
2023-03-31,1,2023,21522877,0.0,21522877,12.5,269035962.5
2023-06-30,2,2023,22026639,0.0,22026639,12.73,280399114.47
2023-09-30,3,2023,21948358,0.0,21948358,13.85,303984758.3
2023-12-31,4,2023,22090709,5565291.0,27656000,14.88,411521280.0
2024-03-31,1,2024,15855879,8416278.0,24272157,16.0,388354512.0
2024-06-30,2,2024,16053188,0.0,16053188,21.03,337598543.64
2024-09-30,3,2024,15943608,0.0,15943608,25.75,410547906.0
