DATE,MONTH,HEV,NEV,PHEV,BEV,PEV,NG,Total
2016,12,78738,526,6019,4366,10911,3618,93267 
2017,06,81003,759,7154,5192,13105,3860,97968 
2017,12,82498,796,8048,6163,15007,4746,102251 
2018,06,84093,910,9382,7590,17882,4831,106806 
2018,12,85149,927,10566,11670,23163,4996,113308 
2019,06,91945,1149,11541,15299,27989,4771,124705 
2019,12,90934,1627,11462,18498,31587,4495,127016 
2020,06,94774,1695,12225,21813,35733,4413,134920 
2020,12,94947,1799,12228,28869,42896,4287,142130 
2021,06,102425,2233,14175,34696,51104,4674,158203 
2021,12,111100,2945,17854,46453,67252,4551,182903 
2022,06,122528,3062,21757,58826,83645,4418,210591 
2022,12,125757,3053,23101,68414,94568,4423,224748 
2023,06,139937,4823,28454,95097,128374,4269,272580 
2023,12,152023,5015,35617,118536,159168,3929,315120 
2024,03,163039,5119,39216,128585,172920,3877,339836 
2024,06,172032,5635,43081,140864,189580,3858,365470 
