"","year","population","percentchange"
"1","1900",1884000,NA
"2","1901",1889000,0.27
"3","1902",1917000,1.48
"4","1903",1969000,2.71
"5","1904",2050000,4.11
"6","1905",2151000,4.93
"7","1906",2239000,4.09
"8","1907",2314000,3.35
"9","1908",2403000,3.85
"10","1909",2487000,3.5
"11","1910",2550000,2.53
"12","1911",2610000,2.35
"13","1912",2670000,2.3
"14","1913",2729000,2.21
"15","1914",2789000,2.2
"16","1915",2850000,2.19
"17","1916",2918000,2.39
"18","1917",2976000,1.99
"19","1918",3043000,2.25
"20","1919",3136000,3.06
"21","1920",3198000,1.98
"22","1921",3297000,3.1
"23","1922",3380000,2.52
"24","1923",3472000,2.72
"25","1924",3573000,2.91
"26","1925",3664000,2.55
"27","1926",3758000,2.57
"28","1927",3891000,3.54
"29","1928",3968000,1.98
"30","1929",3989000,0.53
"31","1930",4068000,1.98
"32","1931",4120000,1.28
"33","1932",4120000,0
"34","1933",4107000,-0.32
"35","1934",4089000,-0.44
"36","1935",4085000,-0.1
"37","1936",4084000,-0.02
"38","1937",4088000,0.1
"39","1938",4100000,0.29
"40","1939",4129000,0.71
"41","1940",4175000,1.11
"42","1941",4254000,1.89
"43","1942",4297000,1.01
"44","1943",4226000,-1.65
"45","1944",4158000,-1.61
"46","1945",4108000,-1.2
"47","1946",4492000,9.35
"48","1947",4618000,2.8
"49","1948",4774000,3.38
"50","1949",4889000,2.41
"51","1950",4872000,-0.35
"52","1951",5006000,2.75
"53","1952",5125000,2.38
"54","1953",5229000,2.03
"55","1954",5360000,2.51
"56","1955",5502000,2.65
"57","1956",5615000,2.05
"58","1957",5737000,2.17
"59","1958",5890000,2.67
"60","1959",6015000,2.12
"61","1960",6103000,1.46
"62","1961",6265000,2.65
"63","1962",6376000,1.77
"64","1963",6531000,2.43
"65","1964",6660000,1.98
"66","1965",6767000,1.61
"67","1966",6851000,1.24
"68","1967",6928000,1.12
"69","1968",7005000,1.11
"70","1969",7095000,1.28
"71","1970",7171112,1.07
"72","1971",7281107,1.53
"73","1972",7335042,0.74
"74","1973",7333083,-0.03
"75","1974",7332411,-0.01
"76","1975",7337765,0.07
"77","1976",7339745,0.03
"78","1977",7337169,-0.04
"79","1978",7350804,0.19
"80","1979",7366512,0.21
"81","1980",7376330,0.13
"82","1981",7407472,0.42
"83","1982",7430968,0.32
"84","1983",7467785,0.5
"85","1984",7515473,0.64
"86","1985",7565528,0.67
"87","1986",7622159,0.75
"88","1987",7670742,0.64
"89","1988",7712333,0.54
"90","1989",7726089,0.18
"91","1990",7757158,0.4
"92","1991",7784269,0.35
"93","1992",7827770,0.56
"94","1993",7874891,0.6
"95","1994",7918796,0.56
"96","1995",7965523,0.59
"97","1996",8009624,0.55
"98","1997",8054178,0.56
"99","1998",8095542,0.51
"100","1999",8143412,0.59
"101","2000",8430621,3.53
"102","2001",8492671,0.74
"103","2002",8552643,0.71
"104","2003",8601402,0.57
"105","2004",8634561,0.39
"106","2005",8651974,0.2
"107","2006",8661679,0.11
"108","2007",8677885,0.19
"109","2008",8711090,0.38
"110","2009",8755602,0.51
"111","2010",8799451,0.5
"112","2011",8828552,0.33
"113","2012",8845671,0.19
"114","2013",8857821,0.14
"115","2014",8867277,0.11
"116","2015",8870312,0.03
"117","2016",8873584,0.04
"118","2017",8888147,0.16
"119","2018",8891730,0.04
"120","2019",8891258,-0.01
"121","2020",9272392,4.29
"122","2021",9269175,-0.03
"123","2022",9260817,-0.09
"124","2023",9290841,0.32
